,region,animal,neuron,mean_spikes,std_spikes,frac_3,mean,std,mean_T,std_T,mean_F,std_F,mean_NP,std_NP,mean_W,std_W,spont_mean,spont_std,R_st,R_st_T,R_st_F,R_ch,R,z_score,tone_sig,z_score_T,z_score_F,z_score_diff,receptive_field,BF,target_tone,BW,ramp_r,ramp_index,ramp_sig
95,AC,AC_12212015,1,0.9168765743073047,0.9168765743073047,0.0982367758186398,1.1465953335659307,1.390357729941119,1.357198742548662,2.0248772211883974,1.3291879125248525,1.9560867154111312,1.4626699652190678,2.311656431671908,1.2654965133829001,1.7892599582052204,1.4105793450881612,3.691530085843365,-0.33585222502099077,-0.6220095693779903,-0.6382978723404255,-0.1889168765743073,0.38533920551397605,-0.11626062367977086,0.04819348829319077,-0.1782964916438237,-0.045325960909933655,-0.13297053073389004,"[(0.5, -0.625, 0.13755325673171098), (1.0, 0.6666666666666666, 0.33222036417169015), (32.0, 0.8333333333333333, 0.32049946553373126), (2.0, -0.6666666666666666, 0.2567604446286965), (4.0, -0.861244019138756, 0.08721384364420942), (8.0, -1.379310344827586, 0.21043350112369977), (16.0, 0.0, 0.0)]",32.0,4,2.0,0.20805413874720807,-4.453840732910501,0.1851789934204565
96,AC,AC_12212015,3,13.231738035264483,13.231738035264483,0.9899244332493703,16.746724562029915,7.160880680666773,21.654106834063665,35.85257635577634,25.411723155685447,94.20883245642761,22.718865103162862,37.953745108241115,24.966551494504973,91.96416878527884,15.062972292191436,12.203503821573612,0.621326616288833,0.28708133971291866,-1.5957446808510638,4.017632241813602,4.065392428114304,-0.11669427839220561,0.06763047054380393,-0.06316979487727023,-0.17058908143606785,0.10741928655879762,"[(0.5, -0.625, 0.9160968280905135), (1.0, -4.0, 0.85374989832438), (32.0, 1.6666666666666665, 0.6930541638819249), (2.0, 4.666666666666666, 0.7205964607595984), (4.0, -0.9569377990430622, 0.3311623770863349), (8.0, -6.206896551724138, 1.001863858161729), (16.0, -2.7906976744186043, 0.7583163632966273)]",2.0,4,1.0,0.5832988690612954,53.897110641296685,0.010134292182923553
97,AC,AC_12212015,4,2.463476070528967,2.463476070528967,0.4332493702770781,2.9700966424586217,2.1622972281508894,3.455064171080349,4.446985307522161,4.7413037893339744,14.675754866681313,3.689762107217506,4.930740553558076,4.5316166156668585,14.326866907300765,3.0730478589420653,5.3706173303489555,0.23509655751469355,0.0956937799043062,-0.10638297872340424,-0.743073047858942,0.7793766392506495,-0.1421278786509401,0.03469759101394486,-0.040503574598194425,-0.23945352863574976,0.19894995403755533,"[(0.5, -1.25, 0.48159484398195124), (1.0, 1.3333333333333333, 0.4682512779045662), (32.0, 0.8333333333333333, 0.41492692350804594), (2.0, -3.333333333333333, 0.47531665858238775), (4.0, -0.28708133971291866, 0.14971862653566048), (8.0, 0.689655172413793, 0.34363646836030326), (16.0, -2.7906976744186043, 0.40498236509455765)]",1.0,4,1.0,0.45296506606391385,-8.851303735024665,0.03293384793295493
98,AC,AC_12222015,0,3.182242990654206,3.182242990654206,0.544392523364486,3.703589869977235,2.9012663987975693,3.9786369206039316,3.832941938256219,3.825469768736208,3.5711524832865207,4.006570816485507,3.5596308296654424,3.792540743863751,3.0650933046361053,4.252336448598131,6.350499955215721,-1.1370716510903427,-1.7326732673267324,-1.7699115044247786,0.15186915887850466,1.14716876750188,-0.2585688975980658,1.8529275653477876e-05,-0.35418410063904643,-0.1665853460145131,-0.18759875462453332,"[(32.0, -2.3809523809523805, 0.43127141446403383), (0.5, -2.4242424242424243, 0.5671631517317616), (2.0, 0.0, 0.2795084971874737), (1.0, 1.3043478260869563, 0.46426505354604397), (4.0, -3.267326732673267, 0.16509572323103364), (8.0, -1.4999999999999998, 0.2443102535711508), (16.0, -3.6363636363636362, 0.356214432512278)]",1.0,4,2.0,0.5715614908871982,26.005509641873275,0.011409423364907745
99,AC,AC_12222015,1,2.3481308411214954,2.3481308411214954,0.39485981308411217,2.6167799940883363,1.999987963129837,2.443458433207578,2.5145090387518727,3.171042359102784,2.507153734956328,2.437390604824862,2.5956220347150607,3.2205115730784635,2.5301888952971088,2.663551401869159,5.152703537239936,-0.7009345794392523,-1.5346534653465345,-0.2654867256637168,0.2453271028037383,0.7426268726781691,-0.25966027923484003,7.5505383981088926e-06,-0.35376576232342594,-0.1756579981366637,-0.17810776418676225,"[(32.0, 1.4285714285714284, 0.38073973657022364), (0.5, -1.8181818181818181, 0.44385970382639844), (2.0, -0.625, 0.24079742199097562), (1.0, -2.1739130434782608, 0.36964860618196915), (4.0, -2.6732673267326734, 0.12404144597683059), (8.0, -2.9999999999999996, 0.37249161064378344), (16.0, -1.2121212121212122, 0.18575475200720346)]",32.0,4,1.0,0.17516495877745314,8.301193755739208,0.2286887203767853
100,AC,AC_12222015,2,4.046728971962617,4.046728971962617,0.6705607476635514,4.56765866211926,2.9177462677486137,4.874896331483577,3.8395786487394203,5.080482525937099,4.370069039602142,4.856504283939975,3.9720227043945697,5.024343616641148,3.835908584765812,4.742990654205608,6.779526796123156,-1.588785046728972,-1.6336633663366336,-2.0353982300884956,-0.035046728971962614,1.5891715445228736,-0.3249442739793985,6.254661612414879e-08,-0.3302360261314039,-0.32040345041950463,-0.009832575711899272,"[(32.0, -1.9047619047619047, 0.3929516137357134), (0.5, -0.6060606060606061, 0.35777336526681647), (2.0, -1.25, 0.43917091632984984), (1.0, -1.7391304347826086, 0.3592179848153174), (4.0, -3.069306930693069, 0.17466560859177654), (8.0, -5.999999999999999, 0.42426406871192845), (16.0, -4.242424242424242, 0.4598708549329261)]",0.5,4,4.0,0.05866573674186538,-5.950413223140496,0.5001696986313421
101,AC,AC_12302015,0,1.7919463087248322,1.7919463087248322,0.2751677852348993,1.8450001329004952,2.0071717274742666,1.3505537246590125,1.8976331886278048,2.738125372381096,3.1678019441086276,1.2853894332894036,1.6480082465006043,2.1790821220967795,2.103806785152941,2.684563758389262,5.511534273194043,-1.029082774049217,-1.1267605633802817,-1.282051282051282,-0.4697986577181208,1.131248042932486,-0.16652217884872533,0.10247043485974937,-0.20584674239815456,-0.12677313820927744,-0.07907360418887713,"[(32.0, 3.333333333333333, 0.48112522432468807), (1.0, 1.6666666666666665, 0.6364688465216445), (2.0, -3.076923076923077, 0.44751882606364585), (0.5, -3.5294117647058822, 0.5562223196514912), (4.0, -1.408450704225352, 0.20553622346123332), (8.0, 5.454545454545454, 0.600525690068924), (16.0, -3.076923076923077, 0.44751882606364585)]",8.0,4,1.0,0.03684325267059078,4.848484848484846,0.5952490421746272
102,AC,AC_12302015,1,31.78523489932886,31.78523489932886,1.0,33.2077270400218,11.636604913368563,37.56549562530972,22.632515994213673,32.08285986858503,17.676237705040503,39.394932844856335,30.633891754104262,32.11983485219181,18.001551837302593,30.469798657718123,22.325702840941236,5.8165548098434,2.2535211267605635,10.256410256410255,5.23489932885906,7.825374166083142,0.3763237683699009,0.0002197283123533979,0.3734568434866353,0.3799104074304398,-0.0064535639438044745,"[(32.0, 21.666666666666664, 2.4414438654509647), (1.0, 1.6666666666666665, 2.0721924335064736), (2.0, 24.615384615384617, 2.581401213636192), (0.5, 5.88235294117647, 1.5232775573048538), (4.0, 11.267605633802816, 0.9072539091965423), (8.0, 41.81818181818181, 2.1859465075188904), (16.0, -10.769230769230768, 1.9830873434938139)]",8.0,4,1.0,0.6229343031613609,145.45454545454544,0.0066325378520183075
103,PFC,PFC_09222016,0,2.1008771929824563,2.1008771929824563,0.34210526315789475,2.2969286481476847,2.5714456564082995,2.3569867063794274,3.443177055076079,2.6550753949993497,3.359456970924769,2.288196041852492,2.7056837483366003,2.809978555308393,3.6888710426745623,1.9298245614035088,4.75305866110318,0.5263157894736842,0.6504065040650406,0.8571428571428571,0.6798245614035088,0.8597498150838885,0.1795019320602112,0.06496218816073801,0.29672121302810417,0.11236664374387365,0.18435456928423052,"[(0.5, 1.25, 0.2706329386826371), (32.0, 6.153846153846154, 1.018714282445318), (2.0, 2.6086956521739126, 0.3140500515280935), (1.0, -1.8181818181818181, 0.6934273376331579), (4.0, 1.4634146341463412, 0.19356241057551374), (8.0, -1.6666666666666665, 0.5843245546656286), (16.0, -1.111111111111111, 0.6547285010986551)]",32.0,4,1.0,0.12875644410914117,8.619528619528618,0.3085639227189603
104,PFC,PFC_09232016,0,1.5546218487394958,1.5546218487394958,0.23529411764705882,1.597867103191761,1.954930425218377,1.9584613083090432,3.2977610227439755,2.085357308151653,2.5743840726401674,2.1306164664902716,3.379993157517023,2.079374672942929,3.3361713362883036,1.5406162464985995,4.569004410253127,0.13071895424836602,0.23255813953488372,0.16216216216216217,-0.11204481792717086,0.1721670300148065,0.12304527678923775,0.14224320516023586,0.20886945333012188,0.059408852578600464,0.14946060075152143,,,4,,0.2033114462851543,-1.0117986588574819,0.19091149949514344
