,,,st_pred,ch_pred,st_pred_shuf,ch_pred_shuf,st_sim,st_sim_rescale,NCR_p,R_pred,R_pred_shuf
2020-01-24,mni13,1,3.852767808674188,1.4852350230568843,1.179631759684337,-0.11210435067610611,4.24,1.585,0.6505,4.129133427399857,1.1849466122557915
2020-01-24,mni13,3,1.5624915266968165,0.6364306017922491,1.0374903173024899,0.06727423098095192,1.9055,0.3275,0.442,1.6871347551090852,1.0396691688467536
2020-01-24,mni13,4,3.1556188150933977,2.732637088375612,0.9682109365584012,-0.05520806794524827,0.105,-0.1195,0.4105,4.174354508536308,0.9697836606365069
2020-01-25,mni13,2,1.2690899252594159,0.36848569552291044,1.0370599501098476,0.09001139571962456,1.279,0.228,0.4465,1.3215032902720873,1.0409588807831145
2020-02-12,mni14,2,1.5876281757299102,-0.020172860974539852,1.1134153071010022,0.0642908374451718,0.3555,0.053,0.2615,1.587756331648966,1.1152699035956366
2020-02-13,kk106,1,4.742404565679389,-3.4589250811610994,1.8237919657805275,-0.1898179828508418,8.016,1.732,0.6555,5.8698010001755625,1.8336433680133013
2020-02-13,kk106,2,4.690602143158983,3.167646493324487,1.0784267005787627,-0.1756347200475187,4.0755,0.5255,0.7515,5.660011728970052,1.0926352105837365
2020-02-13,kkjg20,1,7.0670594235778434,5.47488552376884,1.0666164431683312,-0.35958963679604294,6.6545,0.72,0.749,8.939670038360141,1.1255999927719313
2020-02-13,kkjg20,2,3.340703995095569,0.5188047707196594,1.2345823908919962,-0.07318195451450935,5.2455,2.364,0.8365,3.380748670482468,1.2367494808437
2020-02-13,kkjg20,3,8.510024380420731,8.449668327716914,0.8836898569880518,-0.46888748860249385,14.3405,4.235,0.9485,11.99238966193884,1.000381547366562
2020-02-13,kkjg20,4,,,,,0.0,0.0,0.0,,
2020-02-13,kkjg20,5,1.1504888501443324,-1.5711214831543154,1.241391563913214,0.09641208596031153,1.391,0.041,0.135,1.9473179784348122,1.2451298347056479
2020-02-13,kkjg20,6,,,,,0.0,0.0,0.0,,
2020-02-13,mni14,1,0.6770428867788545,-0.4362386574595605,1.0656781843328995,0.13548977619453345,0.374,0.045,0.3265,0.8054137053713232,1.0742567067588222
